"New Analysis Project","=HYPERLINK(""https://solarwinds.une.com.co/ui/perfstack/?context=0_Orion.Nodes_12818&withRelationships=true&charts=0_Orion.Nodes_12818-Orion.CPULoad.AvgLoad;0_Orion.Nodes_12818-Orion.CPULoad.MaxLoad;0_Orion.Nodes_12818-Orion.CPULoad.AvgPercentMemoryUsed;0_Orion.Nodes_12818-Orion.CPULoad.MaxMemoryUsed;0_Orion.Nodes_12818-Orion.CPULoad.AvgMemoryUsed;0_Orion.Nodes_12818-Orion.ResponseTime.AvgResponseTime;&startTime=2022-01-01T05:00:00.000Z&endTime=2022-03-01T05:00:00.000Z"")"
Start,2022-01-01 00:00:00,End,2022-03-01 00:00:00

"Custom Chart"
Entity,Metric,Date/Time,Value,
"rnec-vm-02","Average CPU Load (%)",2022-01-01 00:00:00,6,
"rnec-vm-02","Average CPU Load (%)",2022-01-02 00:00:00,0,
"rnec-vm-02","Average CPU Load (%)",2022-01-04 00:00:00,13,
"rnec-vm-02","Average CPU Load (%)",2022-01-05 00:00:00,11,
"rnec-vm-02","Average CPU Load (%)",2022-01-06 00:00:00,8,
"rnec-vm-02","Average CPU Load (%)",2022-01-07 00:00:00,12,
"rnec-vm-02","Average CPU Load (%)",2022-01-08 00:00:00,23,
"rnec-vm-02","Average CPU Load (%)",2022-01-09 00:00:00,8,
"rnec-vm-02","Average CPU Load (%)",2022-01-10 00:00:00,9,
"rnec-vm-02","Average CPU Load (%)",2022-01-12 00:00:00,8,
"rnec-vm-02","Average CPU Load (%)",2022-01-13 00:00:00,13,
"rnec-vm-02","Average CPU Load (%)",2022-01-14 00:00:00,13,
"rnec-vm-02","Average CPU Load (%)",2022-01-15 00:00:00,7,
"rnec-vm-02","Average CPU Load (%)",2022-01-16 00:00:00,18,
"rnec-vm-02","Average CPU Load (%)",2022-01-17 00:00:00,14,
"rnec-vm-02","Average CPU Load (%)",2022-01-18 00:00:00,9,
"rnec-vm-02","Average CPU Load (%)",2022-01-20 00:00:00,11,
"rnec-vm-02","Average CPU Load (%)",2022-01-21 00:00:00,21,
"rnec-vm-02","Average CPU Load (%)",2022-01-23 00:00:00,20,
"rnec-vm-02","Average CPU Load (%)",2022-01-24 00:00:00,22,
"rnec-vm-02","Average CPU Load (%)",2022-01-25 00:00:00,31,
"rnec-vm-02","Average CPU Load (%)",2022-01-28 00:00:00,17,
"rnec-vm-02","Average CPU Load (%)",2022-01-29 00:00:00,18,
"rnec-vm-02","Average CPU Load (%)",2022-01-30 00:00:00,13,
"rnec-vm-02","Average CPU Load (%)",2022-01-31 00:00:00,45,
"rnec-vm-02","Average CPU Load (%)",2022-02-02 00:00:00,14,
"rnec-vm-02","Average CPU Load (%)",2022-02-03 00:00:00,11,
"rnec-vm-02","Average CPU Load (%)",2022-02-04 00:00:00,28,
