"New Analysis Project","=HYPERLINK(""https://solarwinds.une.com.co/ui/perfstack/?context=0_Orion.Nodes_2597&withRelationships=true&charts=0_Orion.Nodes_2597-Orion.ResponseTime.AvgResponseTime;&startTime=2022-01-01T05:00:00.000Z&endTime=2022-03-01T05:00:00.000Z"")"
Start,2022-01-01 00:00:00,End,2022-03-01 00:00:00

"Custom Chart"
Entity,Metric,Date/Time,Value,
"3PAR","Average Response Time (ms)",2022-02-17 22:30:00,14.833333333333334,
"3PAR","Average Response Time (ms)",2022-02-18 04:24:00,12,
"3PAR","Average Response Time (ms)",2022-02-18 10:18:00,15.972375690607734,
"3PAR","Average Response Time (ms)",2022-02-18 16:12:00,12.333333333333334,
"3PAR","Average Response Time (ms)",2022-02-18 22:06:00,12.166666666666666,
"3PAR","Average Response Time (ms)",2022-02-19 04:00:00,12,
"3PAR","Average Response Time (ms)",2022-02-19 09:54:00,12,
"3PAR","Average Response Time (ms)",2022-02-19 15:48:00,12,
"3PAR","Average Response Time (ms)",2022-02-19 21:42:00,11.828729281767956,
"3PAR","Average Response Time (ms)",2022-02-20 03:36:00,12,
"3PAR","Average Response Time (ms)",2022-02-20 09:30:00,11.828729281767956,
"3PAR","Average Response Time (ms)",2022-02-20 15:24:00,12,
"3PAR","Average Response Time (ms)",2022-02-20 21:18:00,11.82967032967033,
"3PAR","Average Response Time (ms)",2022-02-21 03:12:00,11.828729281767956,
"3PAR","Average Response Time (ms)",2022-02-21 09:06:00,12.166666666666666,
"3PAR","Average Response Time (ms)",2022-02-21 15:00:00,17,
"3PAR","Average Response Time (ms)",2022-02-21 20:54:00,12.2,
"3PAR","Average Response Time (ms)",2022-02-22 02:48:00,12,
"3PAR","Average Response Time (ms)",2022-02-22 08:42:00,11.988950276243093,
"3PAR","Average Response Time (ms)",2022-02-22 14:36:00,12.833333333333334,
"3PAR","Average Response Time (ms)",2022-02-22 20:30:00,12.5,
"3PAR","Average Response Time (ms)",2022-02-23 02:24:00,11.828729281767956,
"3PAR","Average Response Time (ms)",2022-02-23 08:18:00,12,
"3PAR","Average Response Time (ms)",2022-02-23 14:12:00,12.491712707182321,
"3PAR","Average Response Time (ms)",2022-02-23 20:06:00,11.828729281767956,
"3PAR","Average Response Time (ms)",2022-02-24 02:00:00,11.659340659340659,
"3PAR","Average Response Time (ms)",2022-02-24 07:54:00,12,
"3PAR","Average Response Time (ms)",2022-02-24 13:48:00,14.346368715083798,
"3PAR","Average Response Time (ms)",2022-02-24 19:42:00,12,
"3PAR","Average Response Time (ms)",2022-02-25 01:36:00,12,
"3PAR","Average Response Time (ms)",2022-02-25 07:30:00,12,
"3PAR","Average Response Time (ms)",2022-02-25 13:24:00,12.333333333333334,
"3PAR","Average Response Time (ms)",2022-02-25 19:18:00,12.5,
"3PAR","Average Response Time (ms)",2022-02-26 01:12:00,12.5,
"3PAR","Average Response Time (ms)",2022-02-26 07:06:00,12.166666666666666,
"3PAR","Average Response Time (ms)",2022-02-26 13:00:00,12.333333333333334,
"3PAR","Average Response Time (ms)",2022-02-26 18:54:00,12,
"3PAR","Average Response Time (ms)",2022-02-27 00:48:00,12,
"3PAR","Average Response Time (ms)",2022-02-27 06:42:00,12,
"3PAR","Average Response Time (ms)",2022-02-27 12:36:00,12,
"3PAR","Average Response Time (ms)",2022-02-27 18:30:00,12,
"3PAR","Average Response Time (ms)",2022-02-28 00:24:00,11.828729281767956,
"3PAR","Average Response Time (ms)",2022-02-28 06:18:00,11.994475138121548,
"3PAR","Average Response Time (ms)",2022-02-28 12:12:00,13.166666666666666,
"3PAR","Average Response Time (ms)",2022-02-28 18:06:00,12.333333333333334,
"3PAR","Average Response Time (ms)",2022-03-01 00:00:00,12,

