"New Analysis Project,""=HYPERLINK(""""https://solarwinds.une.com.co/ui/perfstack/?charts=0_Orion.Nodes_19266-Orion.CPULoad.MinLoad,0_Orion.Nodes_19266-Orion.CPULoad.MaxLoad,0_Orion.Nodes_19266-Orion.CPULoad.AvgLoad";"&startTime=2021-12-15T08:02:00.000Z&endTime=2022-02-15T20:02:00.000Z"""")"""
Start,2021-12-15 03:02:00,End,2022-02-15 15:02:00;
;
Custom Chart;
Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,,Entity,Metric,Date/Time,Value,;
"DNRC-SRV-02,""Minimum CPU Load (%)"",2022-01-04 04:17:00,0,,""DNRC-SRV-02"",""Peak CPU Load (%)"",2022-01-04 04:17:00,8,,""DNRC-SRV-02"",""Average CPU Load (%)"",2022-01-04 04:17:00,0,,";
"DNRC-SRV-02,""Minimum CPU Load (%)"",2022-01-05 05:17:00,0,,""DNRC-SRV-02"",""Peak CPU Load (%)"",2022-01-05 05:17:00,14,,""DNRC-SRV-02"",""Average CPU Load (%)"",2022-01-05 05:17:00,1,,";
"DNRC-SRV-02,""Minimum CPU Load (%)"",2022-01-06 00:02:00,0,,""DNRC-SRV-02"",""Peak CPU Load (%)"",2022-01-06 00:02:00,13,,""DNRC-SRV-02"",""Average CPU Load (%)"",2022-01-06 00:02:00,0,,";
"DNRC-SRV-02,""Minimum CPU Load (%)"",2022-01-07 01:02:00,0,,""DNRC-SRV-02"",""Peak CPU Load (%)"",2022-01-07 01:02:00,15,,""DNRC-SRV-02"",""Average CPU Load (%)"",2022-01-07 01:02:00,0,,";
"DNRC-SRV-02,""Minimum CPU Load (%)"",2022-01-08 02:02:00,0,,""DNRC-SRV-02"",""Peak CPU Load (%)"",2022-01-08 02:02:00,5,,""DNRC-SRV-02"",""Average CPU Load (%)"",2022-01-08 02:02:00,0,,";
"DNRC-SRV-02,""Minimum CPU Load (%)"",2022-01-09 03:02:00,0,,""DNRC-SRV-02"",""Peak CPU Load (%)"",2022-01-09 03:02:00,15,,""DNRC-SRV-02"",""Average CPU Load (%)"",2022-01-09 03:02:00,1,,";
"DNRC-SRV-02,""Minimum CPU Load (%)"",2022-01-10 04:02:00,0,,""DNRC-SRV-02"",""Peak CPU Load (%)"",2022-01-10 04:02:00,7,,""DNRC-SRV-02"",""Average CPU Load (%)"",2022-01-10 04:02:00,0,,";
"DNRC-SRV-02,""Minimum CPU Load (%)"",2022-01-11 05:02:00,0,,""DNRC-SRV-02"",""Peak CPU Load (%)"",2022-01-11 05:02:00,12,,""DNRC-SRV-02"",""Average CPU Load (%)"",2022-01-11 05:02:00,0,,";
"DNRC-SRV-02,""Minimum CPU Load (%)"",2022-01-12 06:02:00,0,,""DNRC-SRV-02"",""Peak CPU Load (%)"",2022-01-12 06:02:00,6,,""DNRC-SRV-02"",""Average CPU Load (%)"",2022-01-12 06:02:00,0,,";
"DNRC-SRV-02,""Minimum CPU Load (%)"",2022-01-13 00:47:00,0,,""DNRC-SRV-02"",""Peak CPU Load (%)"",2022-01-13 00:47:00,20,,""DNRC-SRV-02"",""Average CPU Load (%)"",2022-01-13 00:47:00,0,,";
"DNRC-SRV-02,""Minimum CPU Load (%)"",2022-01-14 01:47:00,0,,""DNRC-SRV-02"",""Peak CPU Load (%)"",2022-01-14 01:47:00,11,,""DNRC-SRV-02"",""Average CPU Load (%)"",2022-01-14 01:47:00,0,,";
"DNRC-SRV-02,""Minimum CPU Load (%)"",2022-01-15 02:47:00,0,,""DNRC-SRV-02"",""Peak CPU Load (%)"",2022-01-15 02:47:00,21,,""DNRC-SRV-02"",""Average CPU Load (%)"",2022-01-15 02:47:00,1,,";
"DNRC-SRV-02,""Minimum CPU Load (%)"",2022-01-16 03:47:00,0,,""DNRC-SRV-02"",""Peak CPU Load (%)"",2022-01-16 03:47:00,12,,""DNRC-SRV-02"",""Average CPU Load (%)"",2022-01-16 03:47:00,0,,";
"DNRC-SRV-02,""Minimum CPU Load (%)"",2022-01-17 04:47:00,0,,""DNRC-SRV-02"",""Peak CPU Load (%)"",2022-01-17 04:47:00,17,,""DNRC-SRV-02"",""Average CPU Load (%)"",2022-01-17 04:47:00,0,,";
"DNRC-SRV-02,""Minimum CPU Load (%)"",2022-01-18 05:47:00,0,,""DNRC-SRV-02"",""Peak CPU Load (%)"",2022-01-18 05:47:00,3,,""DNRC-SRV-02"",""Average CPU Load (%)"",2022-01-18 05:47:00,0.16666666666666666,,";
"DNRC-SRV-02,""Minimum CPU Load (%)"",2022-01-18 12:02:00,0,,""DNRC-SRV-02"",""Peak CPU Load (%)"",2022-01-18 12:02:00,27,,""DNRC-SRV-02"",""Average CPU Load (%)"",2022-01-18 12:02:00,3.142857142857143,,";
"DNRC-SRV-02,""Minimum CPU Load (%)"",2022-01-18 18:17:00,0,,""DNRC-SRV-02"",""Peak CPU Load (%)"",2022-01-18 18:17:00,12,,""DNRC-SRV-02"",""Average CPU Load (%)"",2022-01-18 18:17:00,1,,";
"DNRC-SRV-02,""Minimum CPU Load (%)"",2022-01-19 00:32:00,0,,""DNRC-SRV-02"",""Peak CPU Load (%)"",2022-01-19 00:32:00,6,,""DNRC-SRV-02"",""Average CPU Load (%)"",2022-01-19 00:32:00,0.8333333333333334,,";
"DNRC-SRV-02,""Minimum CPU Load (%)"",2022-01-19 06:47:00,0,,""DNRC-SRV-02"",""Peak CPU Load (%)"",2022-01-19 06:47:00,7,,""DNRC-SRV-02"",""Average CPU Load (%)"",2022-01-19 06:47:00,0.6666666666666666,,";
"DNRC-SRV-02,""Minimum CPU Load (%)"",2022-01-19 13:02:00,0,,""DNRC-SRV-02"",""Peak CPU Load (%)"",2022-01-19 13:02:00,13,,""DNRC-SRV-02"",""Average CPU Load (%)"",2022-01-19 13:02:00,1,,";
