Entity;Metric;Date/Time;Value;;Entity;Metric;Date/Time;Value;;Entity;Metric;Date/Time;Value
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);7/01/2022 3:40;1;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);7/01/2022 3:40;27;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);7/01/2022 3:40;9
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);8/01/2022 4:40;0;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);8/01/2022 4:40;10;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);8/01/2022 4:40;2
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);9/01/2022 5:40;0;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);9/01/2022 5:40;12;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);9/01/2022 5:40;2
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);10/01/2022 0:25;0;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);10/01/2022 0:25;11;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);10/01/2022 0:25;2
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);11/01/2022 1:25;0;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);11/01/2022 1:25;11;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);11/01/2022 1:25;2
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);12/01/2022 2:25;0;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);12/01/2022 2:25;10;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);12/01/2022 2:25;2
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);13/01/2022 3:25;0;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);13/01/2022 3:25;10;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);13/01/2022 3:25;3
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);14/01/2022 4:25;1;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);14/01/2022 4:25;12;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);14/01/2022 4:25;3
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);15/01/2022 5:25;1;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);15/01/2022 5:25;11;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);15/01/2022 5:25;3
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);16/01/2022 0:10;1;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);16/01/2022 0:10;12;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);16/01/2022 0:10;4
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);17/01/2022 1:10;1;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);17/01/2022 1:10;11;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);17/01/2022 1:10;3
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);18/01/2022 2:10;3;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);18/01/2022 2:10;11;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);18/01/2022 2:10;5.666666667
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);18/01/2022 8:25;1;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);18/01/2022 8:25;10;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);18/01/2022 8:25;4.166666667
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);18/01/2022 14:40;2;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);18/01/2022 14:40;9;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);18/01/2022 14:40;3.375
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);19/01/2022 9:25;2;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);19/01/2022 9:25;7;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);19/01/2022 9:25;2.6
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);19/01/2022 15:40;2;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);19/01/2022 15:40;13;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);19/01/2022 15:40;4.166666667
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);19/01/2022 21:55;1;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);19/01/2022 21:55;12;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);19/01/2022 21:55;3.5
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);20/01/2022 4:10;1;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);20/01/2022 4:10;11;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);20/01/2022 4:10;4.285714286
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);20/01/2022 10:25;1;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);20/01/2022 10:25;10;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);20/01/2022 10:25;3.428571429
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);20/01/2022 16:40;1;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);20/01/2022 16:40;9;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);20/01/2022 16:40;3.483870968
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);20/01/2022 22:55;1;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);20/01/2022 22:55;12;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);20/01/2022 22:55;4
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);21/01/2022 5:10;1;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);21/01/2022 5:10;13;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);21/01/2022 5:10;5.142857143
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);21/01/2022 11:25;1;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);21/01/2022 11:25;13;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);21/01/2022 11:25;3.5
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);21/01/2022 17:40;1;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);21/01/2022 17:40;9;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);21/01/2022 17:40;3.5
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);21/01/2022 23:55;0;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);21/01/2022 23:55;94;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);21/01/2022 23:55;6.228571429
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);22/01/2022 6:10;1;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);22/01/2022 6:10;16;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);22/01/2022 6:10;6.142857143
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);22/01/2022 12:25;2;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);22/01/2022 12:25;13;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);22/01/2022 12:25;4.833333333
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);22/01/2022 18:40;0;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);22/01/2022 18:40;11;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);22/01/2022 18:40;4.333333333
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);23/01/2022 0:55;1;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);23/01/2022 0:55;12;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);23/01/2022 0:55;5.333333333
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);23/01/2022 7:10;0;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);23/01/2022 7:10;12;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);23/01/2022 7:10;3.285714286
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);23/01/2022 13:25;0;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);23/01/2022 13:25;10;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);23/01/2022 13:25;3.833333333
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);23/01/2022 19:40;1;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);23/01/2022 19:40;13;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);23/01/2022 19:40;4.333333333
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);24/01/2022 1:55;1;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);24/01/2022 1:55;11;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);24/01/2022 1:55;3.333333333
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);24/01/2022 8:10;1;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);24/01/2022 8:10;14;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);24/01/2022 8:10;4.428571429
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);24/01/2022 14:25;1;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);24/01/2022 14:25;10;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);24/01/2022 14:25;3
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);24/01/2022 20:40;1;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);24/01/2022 20:40;16;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);24/01/2022 20:40;4.166666667
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);25/01/2022 2:55;2;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);25/01/2022 2:55;15;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);25/01/2022 2:55;7.333333333
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);25/01/2022 9:10;1;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);25/01/2022 9:10;23;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);25/01/2022 9:10;6.857142857
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);25/01/2022 15:25;3;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);25/01/2022 15:25;8;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);25/01/2022 15:25;4
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);25/01/2022 21:40;2;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);25/01/2022 21:40;19;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);25/01/2022 21:40;5.666666667
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);26/01/2022 3:55;1;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);26/01/2022 3:55;15;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);26/01/2022 3:55;5.228571429
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);26/01/2022 10:10;0;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);26/01/2022 10:10;14;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);26/01/2022 10:10;4.142857143
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);26/01/2022 16:25;1;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);26/01/2022 16:25;41;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);26/01/2022 16:25;4.166666667
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);26/01/2022 22:40;1;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);26/01/2022 22:40;12;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);26/01/2022 22:40;4.5
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);27/01/2022 4:55;1;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);27/01/2022 4:55;16;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);27/01/2022 4:55;6.166666667
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);27/01/2022 11:10;1;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);27/01/2022 11:10;14;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);27/01/2022 11:10;4.428571429
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);27/01/2022 17:25;1;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);27/01/2022 17:25;8;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);27/01/2022 17:25;3.833333333
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);27/01/2022 23:40;1;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);27/01/2022 23:40;14;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);27/01/2022 23:40;5.166666667
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);28/01/2022 5:55;0;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);28/01/2022 5:55;13;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);28/01/2022 5:55;4.666666667
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);28/01/2022 12:10;0;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);28/01/2022 12:10;12;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);28/01/2022 12:10;4.142857143
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);28/01/2022 18:25;1;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);28/01/2022 18:25;10;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);28/01/2022 18:25;3.833333333
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);29/01/2022 0:40;1;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);29/01/2022 0:40;12;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);29/01/2022 0:40;5.666666667
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);29/01/2022 6:55;0;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);29/01/2022 6:55;11;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);29/01/2022 6:55;2.833333333
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);29/01/2022 13:10;0;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);29/01/2022 13:10;10;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);29/01/2022 13:10;3.285714286
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);29/01/2022 19:25;1;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);29/01/2022 19:25;12;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);29/01/2022 19:25;4.171428571
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);30/01/2022 1:40;1;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);30/01/2022 1:40;15;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);30/01/2022 1:40;5
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);30/01/2022 7:55;1;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);30/01/2022 7:55;10;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);30/01/2022 7:55;3.4
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);30/01/2022 14:10;1;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);30/01/2022 14:10;12;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);30/01/2022 14:10;5.428571429
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);30/01/2022 20:25;1;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);30/01/2022 20:25;13;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);30/01/2022 20:25;6.166666667
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);31/01/2022 2:40;1;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);31/01/2022 2:40;10;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);31/01/2022 2:40;3.833333333
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);31/01/2022 8:55;0;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);31/01/2022 8:55;9;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);31/01/2022 8:55;3
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);31/01/2022 15:10;0;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);31/01/2022 15:10;10;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);31/01/2022 15:10;2.512195122
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);31/01/2022 21:25;1;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);31/01/2022 21:25;11;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);31/01/2022 21:25;4.166666667
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);1/02/2022 3:40;1;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);1/02/2022 3:40;10;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);1/02/2022 3:40;5
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);1/02/2022 9:55;1;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);1/02/2022 9:55;10;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);1/02/2022 9:55;3.333333333
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);1/02/2022 16:10;1;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);1/02/2022 16:10;10;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);1/02/2022 16:10;3.142857143
HDREG-PMSG01.registraduria.gov.co;Minimum CPU Load (%);1/02/2022 22:25;0;;HDREG-PMSG01.registraduria.gov.co;Peak CPU Load (%);1/02/2022 22:25;12;;HDREG-PMSG01.registraduria.gov.co;Average CPU Load (%);1/02/2022 22:25;3.666666667
