Entity;Metric;Date/Time;Value;;Entity;Metric;Date/Time;Value;;Entity;Metric;Date/Time;Value
C7000-1;Minimum CPU Load (%);18/01/2022 11:53;12;;C7000-1;Peak CPU Load (%);18/01/2022 11:53;14;;C7000-1;Average CPU Load (%);18/01/2022 11:53;12.5
C7000-1;Minimum CPU Load (%);18/01/2022 18:08;12;;C7000-1;Peak CPU Load (%);18/01/2022 18:08;19;;C7000-1;Average CPU Load (%);18/01/2022 18:08;13.71428571
C7000-1;Minimum CPU Load (%);19/01/2022 0:23;14;;C7000-1;Peak CPU Load (%);19/01/2022 0:23;17;;C7000-1;Average CPU Load (%);19/01/2022 0:23;15
C7000-1;Minimum CPU Load (%);19/01/2022 6:38;15;;C7000-1;Peak CPU Load (%);19/01/2022 6:38;16;;C7000-1;Average CPU Load (%);19/01/2022 6:38;15
C7000-1;Minimum CPU Load (%);19/01/2022 12:53;15;;C7000-1;Peak CPU Load (%);19/01/2022 12:53;16;;C7000-1;Average CPU Load (%);19/01/2022 12:53;15
C7000-1;Minimum CPU Load (%);19/01/2022 19:08;15;;C7000-1;Peak CPU Load (%);19/01/2022 19:08;16;;C7000-1;Average CPU Load (%);19/01/2022 19:08;15
C7000-1;Minimum CPU Load (%);20/01/2022 1:23;12;;C7000-1;Peak CPU Load (%);20/01/2022 1:23;13;;C7000-1;Average CPU Load (%);20/01/2022 1:23;12.5
C7000-1;Minimum CPU Load (%);20/01/2022 7:38;12;;C7000-1;Peak CPU Load (%);20/01/2022 7:38;14;;C7000-1;Average CPU Load (%);20/01/2022 7:38;12.66666667
C7000-1;Minimum CPU Load (%);20/01/2022 13:53;12;;C7000-1;Peak CPU Load (%);20/01/2022 13:53;14;;C7000-1;Average CPU Load (%);20/01/2022 13:53;12.83333333
C7000-1;Minimum CPU Load (%);20/01/2022 20:08;12;;C7000-1;Peak CPU Load (%);20/01/2022 20:08;14;;C7000-1;Average CPU Load (%);20/01/2022 20:08;12.58536585
C7000-1;Minimum CPU Load (%);21/01/2022 2:23;12;;C7000-1;Peak CPU Load (%);21/01/2022 2:23;14;;C7000-1;Average CPU Load (%);21/01/2022 2:23;12.83333333
C7000-1;Minimum CPU Load (%);21/01/2022 8:38;12;;C7000-1;Peak CPU Load (%);21/01/2022 8:38;13;;C7000-1;Average CPU Load (%);21/01/2022 8:38;12.5
C7000-1;Minimum CPU Load (%);21/01/2022 14:53;13;;C7000-1;Peak CPU Load (%);21/01/2022 14:53;19;;C7000-1;Average CPU Load (%);21/01/2022 14:53;14.66666667
