"New Analysis Project","=HYPERLINK(""https://solarwinds.une.com.co/ui/perfstack/?context=0_Orion.Nodes_17149&withRelationships=true&charts=0_Orion.Nodes_17149-Orion.PerfStack.Events;0_Orion.Nodes_17149-Orion.PerfStack.Status;&startTime=2022-01-01T05:00:00.000Z&endTime=2022-03-01T05:00:00.000Z"")"
Start,2022-01-01 00:00:00,End,2022-03-01 00:00:00

"Custom Chart"
Entity,Metric,Date/Time,Value,Entity,Metric,Date/Time,Value,Entity,Metric,Date/Time,Value,Entity,Metric,Date/Time,Value,
"RNEC-VM-09","Events",2022-01-07 03:30:00,0,"RNEC-VM-09","Critical",2022-01-07 03:30:00,0,"RNEC-VM-09","Warning",2022-01-07 03:30:00,0,"RNEC-VM-09","Informational",2022-01-07 03:30:00,0,
"RNEC-VM-09","Events",2022-01-07 09:24:00,0,"RNEC-VM-09","Critical",2022-01-07 09:24:00,0,"RNEC-VM-09","Warning",2022-01-07 09:24:00,0,"RNEC-VM-09","Informational",2022-01-07 09:24:00,0,
"RNEC-VM-09","Events",2022-01-07 15:18:00,0,"RNEC-VM-09","Critical",2022-01-07 15:18:00,0,"RNEC-VM-09","Warning",2022-01-07 15:18:00,0,"RNEC-VM-09","Informational",2022-01-07 15:18:00,0,
"RNEC-VM-09","Events",2022-01-07 21:12:00,0,"RNEC-VM-09","Critical",2022-01-07 21:12:00,0,"RNEC-VM-09","Warning",2022-01-07 21:12:00,0,"RNEC-VM-09","Informational",2022-01-07 21:12:00,0,
"RNEC-VM-09","Events",2022-01-08 03:06:00,52,"RNEC-VM-09","Critical",2022-01-08 03:06:00,0,"RNEC-VM-09","Warning",2022-01-08 03:06:00,26,"RNEC-VM-09","Informational",2022-01-08 03:06:00,26,
"RNEC-VM-09","Events",2022-01-08 09:00:00,89,"RNEC-VM-09","Critical",2022-01-08 09:00:00,0,"RNEC-VM-09","Warning",2022-01-08 09:00:00,41,"RNEC-VM-09","Informational",2022-01-08 09:00:00,48,
"RNEC-VM-09","Events",2022-01-08 14:54:00,94,"RNEC-VM-09","Critical",2022-01-08 14:54:00,0,"RNEC-VM-09","Warning",2022-01-08 14:54:00,45,"RNEC-VM-09","Informational",2022-01-08 14:54:00,49,
"RNEC-VM-09","Events",2022-01-08 20:48:00,99,"RNEC-VM-09","Critical",2022-01-08 20:48:00,0,"RNEC-VM-09","Warning",2022-01-08 20:48:00,49,"RNEC-VM-09","Informational",2022-01-08 20:48:00,50,
"RNEC-VM-09","Events",2022-01-09 02:42:00,95,"RNEC-VM-09","Critical",2022-01-09 02:42:00,0,"RNEC-VM-09","Warning",2022-01-09 02:42:00,44,"RNEC-VM-09","Informational",2022-01-09 02:42:00,51,
"RNEC-VM-09","Events",2022-01-09 08:36:00,97,"RNEC-VM-09","Critical",2022-01-09 08:36:00,0,"RNEC-VM-09","Warning",2022-01-09 08:36:00,48,"RNEC-VM-09","Informational",2022-01-09 08:36:00,49,
"RNEC-VM-09","Events",2022-01-09 14:30:00,102,"RNEC-VM-09","Critical",2022-01-09 14:30:00,0,"RNEC-VM-09","Warning",2022-01-09 14:30:00,48,"RNEC-VM-09","Informational",2022-01-09 14:30:00,54,
"RNEC-VM-09","Events",2022-01-09 20:24:00,97,"RNEC-VM-09","Critical",2022-01-09 20:24:00,0,"RNEC-VM-09","Warning",2022-01-09 20:24:00,48,"RNEC-VM-09","Informational",2022-01-09 20:24:00,49,
"RNEC-VM-09","Events",2022-01-10 02:18:00,92,"RNEC-VM-09","Critical",2022-01-10 02:18:00,0,"RNEC-VM-09","Warning",2022-01-10 02:18:00,45,"RNEC-VM-09","Informational",2022-01-10 02:18:00,47,
"RNEC-VM-09","Events",2022-01-10 08:12:00,108,"RNEC-VM-09","Critical",2022-01-10 08:12:00,0,"RNEC-VM-09","Warning",2022-01-10 08:12:00,54,"RNEC-VM-09","Informational",2022-01-10 08:12:00,54,
"RNEC-VM-09","Events",2022-01-10 14:06:00,108,"RNEC-VM-09","Critical",2022-01-10 14:06:00,0,"RNEC-VM-09","Warning",2022-01-10 14:06:00,54,"RNEC-VM-09","Informational",2022-01-10 14:06:00,54,
"RNEC-VM-09","Events",2022-01-10 20:00:00,112,"RNEC-VM-09","Critical",2022-01-10 20:00:00,0,"RNEC-VM-09","Warning",2022-01-10 20:00:00,56,"RNEC-VM-09","Informational",2022-01-10 20:00:00,56,
"RNEC-VM-09","Events",2022-01-11 01:54:00,112,"RNEC-VM-09","Critical",2022-01-11 01:54:00,0,"RNEC-VM-09","Warning",2022-01-11 01:54:00,56,"RNEC-VM-09","Informational",2022-01-11 01:54:00,56,
"RNEC-VM-09","Events",2022-01-11 07:48:00,106,"RNEC-VM-09","Critical",2022-01-11 07:48:00,0,"RNEC-VM-09","Warning",2022-01-11 07:48:00,52,"RNEC-VM-09","Informational",2022-01-11 07:48:00,54,
"RNEC-VM-09","Events",2022-01-11 13:42:00,109,"RNEC-VM-09","Critical",2022-01-11 13:42:00,0,"RNEC-VM-09","Warning",2022-01-11 13:42:00,53,"RNEC-VM-09","Informational",2022-01-11 13:42:00,56,
"RNEC-VM-09","Events",2022-01-11 19:36:00,97,"RNEC-VM-09","Critical",2022-01-11 19:36:00,0,"RNEC-VM-09","Warning",2022-01-11 19:36:00,47,"RNEC-VM-09","Informational",2022-01-11 19:36:00,50,
"RNEC-VM-09","Events",2022-01-12 01:30:00,85,"RNEC-VM-09","Critical",2022-01-12 01:30:00,0,"RNEC-VM-09","Warning",2022-01-12 01:30:00,41,"RNEC-VM-09","Informational",2022-01-12 01:30:00,44,
"RNEC-VM-09","Events",2022-01-12 07:24:00,92,"RNEC-VM-09","Critical",2022-01-12 07:24:00,0,"RNEC-VM-09","Warning",2022-01-12 07:24:00,46,"RNEC-VM-09","Informational",2022-01-12 07:24:00,46,
"RNEC-VM-09","Events",2022-01-12 13:18:00,78,"RNEC-VM-09","Critical",2022-01-12 13:18:00,0,"RNEC-VM-09","Warning",2022-01-12 13:18:00,39,"RNEC-VM-09","Informational",2022-01-12 13:18:00,39,
"RNEC-VM-09","Events",2022-01-12 19:12:00,88,"RNEC-VM-09","Critical",2022-01-12 19:12:00,0,"RNEC-VM-09","Warning",2022-01-12 19:12:00,44,"RNEC-VM-09","Informational",2022-01-12 19:12:00,44,
"RNEC-VM-09","Events",2022-01-13 01:06:00,92,"RNEC-VM-09","Critical",2022-01-13 01:06:00,0,"RNEC-VM-09","Warning",2022-01-13 01:06:00,46,"RNEC-VM-09","Informational",2022-01-13 01:06:00,46,
"RNEC-VM-09","Events",2022-01-13 07:00:00,98,"RNEC-VM-09","Critical",2022-01-13 07:00:00,0,"RNEC-VM-09","Warning",2022-01-13 07:00:00,48,"RNEC-VM-09","Informational",2022-01-13 07:00:00,50,
"RNEC-VM-09","Events",2022-01-13 12:54:00,79,"RNEC-VM-09","Critical",2022-01-13 12:54:00,0,"RNEC-VM-09","Warning",2022-01-13 12:54:00,37,"RNEC-VM-09","Informational",2022-01-13 12:54:00,42,
"RNEC-VM-09","Events",2022-01-13 18:48:00,84,"RNEC-VM-09","Critical",2022-01-13 18:48:00,0,"RNEC-VM-09","Warning",2022-01-13 18:48:00,38,"RNEC-VM-09","Informational",2022-01-13 18:48:00,46,
"RNEC-VM-09","Events",2022-01-14 00:42:00,80,"RNEC-VM-09","Critical",2022-01-14 00:42:00,0,"RNEC-VM-09","Warning",2022-01-14 00:42:00,37,"RNEC-VM-09","Informational",2022-01-14 00:42:00,43,
